"gene_id","gene_symbol","term_id","term_name","domain"
"Dmel_CG10160","Ldh","dme00010","Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10160","Ldh","dme00640","Propanoate metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10160","Ldh","dme00620","Pyruvate metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10160","Ldh","dme01100","Metabolic pathways - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10160","Ldh","dme00270","Cysteine and methionine metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme00052","Galactose metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme00030","Pentose phosphate pathway - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme01250","Biosynthesis of nucleotide sugars - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme00230","Purine metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme00010","Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme00520","Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme00500","Starch and sucrose metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10202","Pgm2b","dme01100","Metabolic pathways - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10467","CG10467","dme00052","Galactose metabolism - Drosophila melanogaster (fruit fly)","kegg_pathway"
"Dmel_CG10467","CG10467","dme00010","Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)","kegg_pathway"
