"gene_id","gene_symbol","term_id","term_name","domain"
"YAL038W","CDC19","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL038W","CDC19","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL038W","CDC19","sce01230","Biosynthesis of amino acids - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL038W","CDC19","sce01200","Carbon metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL038W","CDC19","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL038W","CDC19","sce00620","Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce00680","Methane metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce00640","Propanoate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce00630","Glyoxylate and dicarboxylate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce01200","Carbon metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YAL054C","ACS1","sce00620","Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR019C","GAL10","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR019C","GAL10","sce00052","Galactose metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR019C","GAL10","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR019C","GAL10","sce01250","Biosynthesis of nucleotide sugars - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR019C","GAL10","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR019C","GAL10","sce00520","Amino sugar and nucleotide sugar metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR145W","ADH5","sce00071","Fatty acid degradation - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR145W","ADH5","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR145W","ADH5","sce00620","Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR145W","ADH5","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR145W","ADH5","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR145W","ADH5","sce00350","Tyrosine metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce00500","Starch and sucrose metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce01200","Carbon metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce00030","Pentose phosphate pathway - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce00520","Amino sugar and nucleotide sugar metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR196C","PGI1","sce01250","Biosynthesis of nucleotide sugars - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce00620","Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce00020","Citrate cycle (TCA cycle) - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce01200","Carbon metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce00785","Lipoic acid metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YBR221C","PDB1","sce01210","2-Oxocarboxylic acid metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce00051","Fructose and mannose metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce00052","Galactose metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce01200","Carbon metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce00520","Amino sugar and nucleotide sugar metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce01250","Biosynthesis of nucleotide sugars - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce00500","Starch and sucrose metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCL040W","GLK1","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR012W","PGK1","sce00710","Carbon fixation by Calvin cycle - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR012W","PGK1","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR012W","PGK1","sce01200","Carbon metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR012W","PGK1","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR012W","PGK1","sce01230","Biosynthesis of amino acids - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR012W","PGK1","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce00053","Ascorbate and aldarate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce00620","Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce01240","Biosynthesis of cofactors - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce00040","Pentose and glucuronate interconversions - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce00561","Glycerolipid metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YCR105W","ADH7","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL021W","GPM2","sce00260","Glycine, serine and threonine metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL021W","GPM2","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL021W","GPM2","sce01110","Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL021W","GPM2","sce01230","Biosynthesis of amino acids - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL021W","GPM2","sce00680","Methane metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL021W","GPM2","sce00010","Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL021W","GPM2","sce01200","Carbon metabolism - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
"YDL080C","THI3","sce01100","Metabolic pathways - Saccharomyces cerevisiae (budding yeast)","kegg_pathway"
