gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
YAL048C,92,101,88,248,236,261
YBR179C,75,83,79,198,221,207
YDL006W,164,152,171,78,84,73
YDL029W,205,198,214,96,103,88
YDL239C,38,42,41,130,125,142
YDR150W,310,295,322,146,151,139
YDR219C,121,117,130,124,119,132
YGL055W,56,61,59,62,58,65
YGR132C,410,396,421,405,418,399
YGR231C,18,22,20,19,24,21
YHR194W,235,248,229,512,486,533
YIL062C,84,78,90,193,185,202
YIL138C,143,151,136,69,73,66
YLL001W,61,67,58,58,65,63
YLR190W,287,301,276,294,283,309
YML086C,34,29,37,96,104,91
YML104C,126,119,134,122,128,130
YMR072W,472,455,489,231,248,225
YMR275C,12,14,13,12,15,13
YNL079C,203,211,196,411,389,427
YNL304W,95,88,101,92,98,90
YOL009C,178,166,185,82,77,89
YOL076W,49,53,46,112,119,108
YOR147W,316,329,304,319,311,332
YOR211C,72,69,76,70,74,68
YOR326W,154,147,161,333,315,348
YPR083W,25,31,28,26,30,29
YPR131C,221,236,214,105,112,99
YAL010C,67,71,64,150,143,158
YBR163W,390,377,402,385,396,388
