"ensembl_gene_id","gene_symbol","description","gene_biotype","chromosome","start","end"
"FBgn0000003","7SLRNA:CR32864","Signal recognition particle 7SL RNA CR32864","ncRNA","3R",6822500,6822798
"FBgn0000008","a","arc","protein_coding","2R",22136968,22172834
"FBgn0000014","abd-A","abdominal A","protein_coding","3R",16807214,16830049
"FBgn0000015","Abd-B","Abdominal B","protein_coding","3R",16927212,16972236
"FBgn0000017","Abl","Abl tyrosine kinase","protein_coding","3L",16615866,16647882
"FBgn0000018","abo","abnormal oocyte","protein_coding","2L",10973443,10975293
"FBgn0000022","ac","achaete","protein_coding","X",370031,370947
"FBgn0000024","Ace","Acetylcholine esterase","protein_coding","3R",13222951,13259517
"FBgn0000028","acj6","abnormal chemosensory jump 6","protein_coding","X",15350239,15379064
"FBgn0000032","Acph-1","Acid phosphatase 1","protein_coding","3R",29991144,29993411
"FBgn0000036","nAChRalpha1","nicotinic Acetylcholine Receptor alpha1","protein_coding","3R",24393896,24457157
"FBgn0000037","mAChR-A","muscarinic Acetylcholine Receptor, A-type","protein_coding","2R",24378630,24390294
"FBgn0000038","nAChRbeta1","nicotinic Acetylcholine Receptor beta1","protein_coding","3L",4429349,4435993
"FBgn0000039","nAChRalpha2","nicotinic Acetylcholine Receptor alpha2","protein_coding","3R",24485428,24491147
"FBgn0000042","Act5C","Actin 5C","protein_coding","X",5900861,5905399
"FBgn0000043","Act42A","Actin 42A","protein_coding","2R",6013910,6015689
"FBgn0000044","Act57B","Actin 57B","protein_coding","2R",20944021,20946431
"FBgn0000045","Act79B","Actin 79B","protein_coding","3L",21985210,21987190
"FBgn0000046","Act87E","Actin 87E","protein_coding","3R",13425983,13428375
"FBgn0000047","Act88F","Actin 88F","protein_coding","3R",15439969,15442177
"FBgn0000052","Pfas","Phosphoribosylformylglycinamidine synthase","protein_coding","2L",6041181,6046050
"FBgn0000053","Gart","GART trifunctional enzyme","protein_coding","2L",7014623,7023898
"FBgn0000055","Adh","Alcohol dehydrogenase","protein_coding","2L",14615552,14618902
"FBgn0000056","Adhr","Adh-related","protein_coding","2L",14615552,14618902
"FBgn0000057","adp","adipose","protein_coding","2R",18151704,18154060
"FBgn0000061","al","aristaless","protein_coding","2L",378112,387439
"FBgn0000063","Mps1","Monopolar spindle 1","protein_coding","3R",17671271,17673828
"FBgn0000064","Ald1","Aldolase 1","protein_coding","3R",26254069,26261591
"FBgn0000071","Ama","Amalgam","protein_coding","3R",6762593,6765261
"FBgn0000075","amd","alpha methyl dopa-resistant","protein_coding","2L",19110154,19114110
"FBgn0000077","amx","almondex","protein_coding","X",9245915,9247336
"FBgn0000078","Amy-d","Amylase distal","protein_coding","2R",17124764,17126369
"FBgn0000079","Amy-p","Amylase proximal","protein_coding","2R",17118636,17120303
"FBgn0000083","AnxB9","Annexin B9","protein_coding","3R",21065241,21070917
"FBgn0000084","AnxB10","Annexin B10","protein_coding","X",20171445,20173514
"FBgn0000092","dyw","daywake","protein_coding","X",2692732,2693886
"FBgn0000094","Anp","Andropin","protein_coding","3R",30209948,30210382
"FBgn0000097","aop","anterior open","protein_coding","2L",2156484,2178754
"FBgn0000100","RpLP0","Ribosomal protein LP0","protein_coding","3L",22075867,22077487
"FBgn0000108","Appl","beta amyloid protein precursor-like","protein_coding","X",530501,579044
"FBgn0000109","Aprt","Adenine phosphoribosyltransferase","protein_coding","3L",1883795,1885019
"FBgn0000114","bru1","bruno 1","protein_coding","2L",12175004,12313438
"FBgn0000115","Arl1","ADP ribosylation factor-like 1","protein_coding","3L",15983135,15984362
"FBgn0000116","Argk1","Arginine kinase 1","protein_coding","3L",9048781,9066027
"FBgn0000117","arm","armadillo","protein_coding","X",1891401,1900646
"FBgn0000119","arr","arrow","protein_coding","2R",13453640,13483229
"FBgn0000120","Arr1","Arrestin 1","protein_coding","2L",18078269,18081307
"FBgn0000121","Arr2","Arrestin 2","protein_coding","3L",8647261,8648936
"FBgn0000137","ase","asense","protein_coding","X",460747,463176
"FBgn0000139","ash2","absent, small, or homeotic discs 2","protein_coding","3R",24650125,24653376
"FBgn0000140","asp","abnormal spindle","protein_coding","3R",24753849,24760513
"FBgn0000146","aub","aubergine","protein_coding","2L",10997819,11001476
"FBgn0000147","aurA","aurora A","protein_coding","3R",11963124,11964826
"FBgn0000150","awd","abnormal wing discs","protein_coding","3R",31745172,31746077
"FBgn0000152","Axs","Abnormal X segregation","protein_coding","X",16680089,16683895
"FBgn0000153","b","black","protein_coding","2L",13821248,13823979
"FBgn0000157","Dll","Distal-less","protein_coding","2R",24814822,24835667
"FBgn0000158","bam","bag of marbles","protein_coding","3R",25243039,25245109
"FBgn0000163","baz","bazooka","protein_coding","X",17160006,17200728
"FBgn0000166","bcd","bicoid","protein_coding","3R",6755842,6759466
"FBgn0000173","ben","bendless","protein_coding","X",13996345,13999805
"FBgn0000179","bi","bifid","protein_coding","X",4412856,4485647
"FBgn0000180","bib","big brain","protein_coding","2L",9984645,9995538
"FBgn0000181","bic","bicaudal","protein_coding","2R",12870249,12871794
"FBgn0000182","BicC","Bicaudal C","protein_coding","2L",16042047,16048757
